author,description
Пащенко Олександр Сафонович,"Дніпрогес. Відбудова. 1951. Папір, кольоровий офорт. 32х28"
Пащенко Олександр Сафонович,"Весна. Луки під водою. 1955. Папір, акварель. 35х48"
Пащенко Олександр Сафонович,"Гравій. 1962. Папір, кольорова ліногравюра. 51х68,5"
Пащенко Олександр Сафонович,"Спільні роботи в котловані. 1962. Папір, кольорова ліногравюра. 44,5х63 Секретаріату правління СХ УРСР №26 від 23.04.80. Надійшло з ДВ СХУ"
Пащенко Олександр Сафонович,"Рання зима. 1954. Папір, ліногравюра. 25х35"
Пащенко Олександр Сафонович,"Софія Київська. 1946. Папір, ліногравюра. 23х21"
Пащенко Олександр Сафонович,"На Дніпрі. 1956. Папір, кольорова ліногравюра. 20х30"
Пензін Виктор Петрович,"Володимирська. 1968-69. З серії «Моя Батьківщина». Папір, кольорова літографія. 66,5х71"
Пензін Виктор Петрович,"Володимирська. 1968-69. З серії «Моя Батьківщина». Папір, кольорова літографія. 65х71,6"
Перевальський Василій Євдоким.,"«Тече вода коломутна». 1965. Папір, ксілографія. 15,5х12"
Перевальський Василій Євдоким.,"«…Як була я маленька...». 1965. Папір, ксілографія. 16,5х13,5"
Перевальський Василій Євдоким.,"«Гей, видно село...». 1965. Папір, ксілографія. 15х13"
Перевальський Василій Євдоким.,"Весна. 1974. За мотивами поезії М. Рильського. Папір, гравюра на пластику. 16,5х11"
Перевальський Василій Євдоким.,"Тиша. 1974. За мотивами поеми М. Рильського. Папір, гравюра на пластику. 16,5х11"
Перевальський Василій Євдоким.,"М. Рильський. 1974. За мотивами поезії М. Рильського. Папір, гравюра на пластику. 33,2х25,3"
Перевальський Василій Євдоким.,"Востаннє. 1972. За мотивами поезії М. Рильського. Папір, гравюра на пластику. 16,5х11"
Песоцький,"Портрет генерала Савоїни. Літографія. 31,3х25"
Петрашкевич Микола Бенедик.,"В порту. 1964. Папір, акварель. 45х60"
Петрашкевич Микола Бенедик.,"В котлованах Плявинської ГЕС. 1963. Папір, акварель. 48х62"
Петров (Камчатський) Віталій Натан.,"Бондари. 1967. Папір, ліногравюра. 43х54"
Петров (Камчатський) Віталій Натан.,"Вулкан. 1966. Папір, ліногравюра. 42х58"
Петров (Камчатський) Віталій Натан.,"Ленінський проспект. 1964. Папір, ліногравюра. 41х65"
Петров (Камчатський) Віталій Натан.,"Земля - селянам. 1962. Папір, офорт. 50х65"
Петров (Камчатський) Віталій Натан.,"Травень. З серії «Відпустка в Загір’ї». 1970. Папір, літографія. 44х55"
Петров (Камчатський) Віталій Натан.,"Полювання в Наукані. Папір, літографія. 62х76,5"
Петров Володимир Іван.,"Після дощу. 1963. Папір, кольоровий офорт, акватинта. 33х23,5"
Петров Володимир Іван.,"Скирди ростуть. 1962. Папір, кольорова літографія. 25,5х39,2"
Петров Володимир Іван.,"З сінокосу. 1960. Папір, кольорова літографія. 25х46,5"
Петров Володимир Іван.,"Колгоспна бригада. 1965. Папір, кольорова літографія. 30,5х41,5"
Петров Володимир Іван.,"Земля. 1965. Папір, кольорова літографія. 24,8х52,6"
Петров Володимир Іван.,"Озимина. 1964. Папір, кольорова літографія. 26,3х49,4"
Петров Володимир Іван.,"Сутінки. 1968. Папір, кольорова літографія. 25,5х38,3"
Петров Володимир Іван.,"Відпочинок. 1971. Папір, кольорова літографія. 39х59"
Петров Володимир Іван.,"Ранок. 1967. Папір, кольорова літографія. 29,2х49"
Петров Володимир Іван.,"Колгоспна бригада. 1964. Папір, кольорова літографія. 30,2х43"
Петров Володимир Іван.,"Під осінь. 1968. Папір, кольорова літографія. 30,5х40"
Петров Володимир Іван.,"Лани. 1968. Кольорова літографія. 31х55,5; 19,5х44 (відтиск)"
Петров В’ячеслав Олекс.,"Ескіз диплома «Лауреат премії ім. М.В. Лисенка». 1982. Папір, тиснення. 11,7х17"
Петров Георгій Петрович,"Яхта на стапелях. 1966. Папір, акварель. 26х37"
Петров Георгій Петрович,"Маки та соняшники. 1971. Папір, акварель. 54х71"
Петров Георгій Петрович,"Натюрморт з колоссям. 1974. Папір, акварель. 55х61"
Петров Георгій Петрович,"Пробудження. 1974. Папір, акварель. 62х65"
Петров Георгій Петрович,"Ранок. З серії «Весна в Саратові». 1978. Папір, акварель. 19х24"
Петров Георгій Петрович,"Херсонські кавуни. 1975. Папір, акварель. 62,5х75"
Петров Георгій Петрович,"Натюрморт з минями. 1973. Папір, акварель. 78,5х61"
Петров Георгій Петрович,"Гарбуз і соняшники. 1975. Папір, акварель. 58х70"
Петров Георгій Петрович,"Карасі та коропи. 1976. Папір, акварель. 69,5х69,5"
Петров Георгій Петрович,"Хліб та глечики. 1976. Папір, акварель. 63х69"
Петров Георгій Петрович,"Хліб. 1980. Папір, акварель. 55х68"
Петров Георгій Петрович,"Катерининський собор ХVІІІ ст. 1978. З серії «Пам’ятники культури та історії Херсонщини». Папір, акварель. 63х73"
Петров Георгій Петрович,"Північна брама Херсонської фортеці. 1978. З серії «Пам’ятники культури та історії Херсонщини». Папір, акварель. 54х61"
Петров Георгій Петрович,"Говарду від вдячних херсонців. 1978. З серії «Пам’ятники культури та історії Херсонщини». Папір, акварель. 51,6х53,5"
Петров Георгій Петрович,"Перм. Після дощу. 1973. Папір, акварель. 62,8х48,5"
Петров Георгій Петрович,"Листопад. Пейзажний триптих «Легло на землю осени крыло». 1983. Папір, акварель. 58х62"
Петров Георгій Петрович,"На річці снів. Тиша. Пейзажний триптих «Легло на землю осени крыло». 1983. Папір, акварель. 57х64"
Петров Георгій Петрович,"Елегія. Пейзажний триптих «Легло на землю осени крыло». 1979. Папір, акварель. 54,5х59"
Петров Георгій Петрович,"Триптих, аркуш І «Важкі роки», ліва сторона. 1985. Папір, акварель. 74х77"
Петров Георгій Петрович,"Триптих, аркуш ІІ «Пам'ять», центр. 1985. Папір, акварель. 74х87"
Петров Георгій Петрович,"Триптих, аркуш ІІІ «Дарунки фронту», права сторона. 1985. Папір, акварель. 74х77"
Петров Георгій Петрович,"Повінь. 1985. Папір, акварель. 64х57"
Петров Георгій Петрович,"Російський чай. 1979. Папір, акварель. 69х74"
Петров Георгій Петрович,"Натюрморт з овочами. 1979. Папір, акварель. 61х69"
Петров Георгій Петрович,"Гідропарк. Ранок. 1985. Папір, акварель. 58,8х58,5"
Петров Георгій Петрович,"Пора весняна. 1985. Папір, акварель. 20,3х22,8"
Петров Георгій Петрович,"Весняне сонце. 1986. Папір, акварель. 13,5х17,5 (у світлі)"
Петров Георгій Петрович,"Старий парк. 1980. Папір, акварель. 46,5х54"
Петров Георгій Петрович,"Сонячні зайчики. 1988. Папір, акварель. 66,5х58"
Петров Георгій Петрович,"Незабудки та бузок. 1979. Папір, акварель. 59,5х60"
Петров Георгій Петрович,"Натюрморт на фоні рушника. 1989. Папір, акварель. 51х61"
Петров Георгій Петрович,"Троянди біля вікна. 1990. Папір, акварель. 36х46,5"
Петров Георгій Петрович,"Рожевий сніг. 1973. Папір, акварель. 47,5х63"
Петров Георгій Петрович,"Братки. 1991. Папір, акварель. 47,5х42 (в світлі)"
Петров Георгій Петрович,"Польові дельфініуми. 1997. Папір, акварель. 42х59"
Петров Георгій Петрович,"Акварель. 1982. Папір, акварель. 58х63"
Петров Георгій Петрович,"Осінь в майстерні. 1983. Папір, акварель. 75х73,5"
Петров Георгій Петрович,"Повернення. 1984. Папір, акварель. 69х59"
Петров Георгій Петрович,"Натюрморт. 1979. Папір, акварель. 59х69"
Петров Георгій Петрович,"Херсонські кавуни. 1976. Папір, акварель. 63,5х72"
Петров Георгій Петрович,"Зимовий день. 1975. Папір, акварель. 63х71"
Петров Георгій Петрович,"Генічеськ. Похмурий день. 1997. Папір, акварель. 21,5х47,5"
Петров Георгій Петрович,"Седнівська осінь. 1972. Папір, акварель. 42,5х59"
Петров Георгій Петрович,"Ранок у селі. 1984. Папір, акварель. 46х63"
Петров Георгій Петрович,"Українська кераміка. 1974. Папір, акварель. 56,5х60"
Петров Георгій Петрович,"Перша зелень. 1974. Папір, акварель. 49,5х62,8"
Петров Георгій Петрович,"Сонячний дворик. 1978. Папір, акварель. 50,6х64"
Петров Георгій Петрович,"Дари осені. 1985. Папір, акварель. 70,2х54,5"
Петров Георгій Петрович,"Затон. Завод ім. Комінтерна. 1987. Папір, акварель. 55,5х75,5"
Петров Георгій Петрович,"Лагідне сонечко. 1983. Папір, акварель. 57,5х51,5"
Петров Георгій Петрович,"Натюрморт з білою чашкою. 2000. Папір, акварель. 46х55"
Петров Георгій Петрович,"Ліс поблизу Кунгуру. 1973. Папір, акварель. 37,5х54"
Петров Георгій Петрович,"Осіння палітра. 1985. Папір, акварель. 68,5х78"
Петров Георгій Петрович,"Відлига. 2010. Папір, акварель. 24х29,5"
Петров Георгій Петрович,"Світанок на лимані. 2001. Папір, акварель. 46,5х64,5"
Петров Георгій Петрович,"У лісі. 1980. Папір, акварель. 57х59"
Петров Георгій Петров.,"Ранок на річці снів. 1993. Папір, акварель. 12,8х16,8 (у світлі)"
Петров Георгій Петров.,"Спуск Санаторний провулок. 1958. Папір, акварель. 30х24"
Петров Георгій Петров.,"КАМАЗ. 1973. Папір, акварель. 30х21,5"
Петров Георгій Петров.,"На вул.Підпільній. 2012. Папір, акварель. 35,5х44"
Петров Георгій Петров.,"Тане сніг 2012. Папір, акварель. 28х43"
Петров Георгій Петров.,"Над селом. 2010. Папір, акварель. 45х28"
Петров Георгій Петров.,"Інгулецький берег. 2011. Папір, акварель. 30,5х38"
Петров Георгій Петров.,"Комсомольський парк. Херсон 2001. Папір, акварель. 44х35"
Петров Георгій Петров.,"Село Федорівка. Перед грозою 2011. Папір, акварель. 39х47,5"
Петров Георгій Петров.,"Осінь на вікні. 2004. Папір, акварель. 41,2х52,5"
Петров Георгій Петров.,"На річці. 2000. Папір, акварель. 30,5х43"
Петров Георгій Петров.,"Світлий ранок 2010. Папір, акварель. 25х46"
Петров Георгій Петров.,"Зимовий вечір. Седнєв. 1972. Папір, акварель. 40х50"
Петров Георгій Петров.,"Натюрморт з виноградом. 2005. Папір, акварель. 47х59"
Петров Георгій Петров.,"Причал у Херсоні. 1990. Папір, акварель. 50,5х57,5"
Петров Георгій Петров.,"На причалі. 2009. Папір, акварель. 21х25,5"
Петров Георгій Петров.,"Осіння стежка. 2011. Папір, акварель. 22х18,5"
Петров Георгій Петров.,"Етюд. 2001. Папір, акварель. 18,5х23"
Петров Георгій Петров.,"Кунгур. Пермська область. Провулок. 1972. Папір, акварель. 30х34"
Петров Георгій Петров.,"Вечір. Седнів. 1985. Папір, акварель. 63х43,5"
Петров Георгій Петров.,"Сонячний хоровод. 2012. Папір, акварель. 34х37"
Петров Георгій Петров.,"Над Інгульцем. 2011. Папір, акварель. 67х36,5"
Петров Георгій Петров.,"Етюд. 1956. Папір, акварель. 28х18,5"
Петров Георгій Петров.,"Три дерева. 1976. Папір, акварель. 36х48"
Петров Георгій Петров.,"Лісові велетні. 1973. Папір, акварель. 48х36"
Петров Георгій Петров.,"Каменські козаки. 2011. Папір, акварель. 46,5х37"
Петров Георгій Петров.,"Місяць у Федорівці. 2000. Папір, акварель. 47,5х33"
Петров Георгій Петров.,"У судзавода ім. Куйбишева. 1959. Папір, змішана техніка. 29,5х40"
Петров Георгій Петров.,"Весна на околиці. 1986. Папір, акварель. 49,5х42"
Петров Георгій Петров.,"На річці. 1957. Папір, акварель. 45,5х62,5"
Петров Георгій Петров.,"Російський мотив. Перед грозою. 1987. Папір, акварель. 47х58"
Петров Георгій Петров.,"Портрет дівчини. 1961. Папір, акварель. 59х44,5"
Петров Георгій Петров.,"Портрет дівчини (в рожевому). 1961. Папір, акварель. 45х63"
Петров Георгій Петров.,"У циганській слободі. Папір, акварель. 58,5х50"
Петров Георгій Петров.,"Гопри. Солене озеро. 1959. Папір, акварель. 64х35,5"
Петров Георгій Петров.,"Червоний перець. 1989. Папір, акварель. 53,5х42,5"
Петров Георгій Петров.,"Осінній Гідропарк. 1981. Папір, акварель. 55х47,5"
Петров Георгій Петров.,"Вулиця Комунарів. 1980. Папір, акварель. 57х56"
Петров Георгій Петров.,"Корсунка (біля Н.Каховки). 1986. Папір, акварель. 62х50"
Петров Георгій Петров.,"Осінь 1973. Папір, акварель. 57х36,5"
Петров Георгій Петров.,"Лісові простори. 1981. Папір, акварель. 54х64,5"
Петров Георгій Петров.,"На лугу. Седнів. Папір, акварель. 60х33,5"
Петров Георгій Петров.,"Троянди і полуниця. 1971. Папір, акварель. 39,5х59"
Петров Георгій Петров.,"Сільський ставок. 1970. Папір, акварель. 34,5х49,5"
Петров Георгій Петров.,"Федорівський мотив. 2003. Папір, акварель. 37,5х50"
Петров Георгій Петров.,"Седнів. 1985. Папір, змішана техніка. 37х31"
Петров Георгій Петров.,"Осіння дорога. 1978. Папір, акварель. 59,5х51,5"
Петров Георгій Петров.,"Літній мотив 2001. Папір, акварель. 41,5х56,5"
Петров Георгій Петров.,"Літні контрасти 1980. Папір, акварель. 58х65"
Петров Георгій Петров.,"Плавні. 2003. Папір, акварель. 50х54"
Петров Георгій Петров.,"Седнів. Пейзажі із пагорбом. 1973. Папір, акварель. 44,5х62,8"
Петров Георгій Петров.,"Гора біля річки. 1973. Папір, акварель. 46х60,5"
Петров Георгій Петров.,"У Пермі. 1973. Папір, акварель. 44х54"
Петров Георгій Петров.,"Ольгівка. 2004. Папір, акварель. 46х63"
Петров Георгій Петров.,"Перисті хмари. 1980. Папір, акварель. 44х35,5"
Петров Георгій Петров.,"На Волзі. 1967. Папір, акварель. 46х63,5"
Петров Георгій Петров.,"Фарби літа. 1980. Папір, акварель. 49,5х71,5"
Петров Георгій Петров.,"На Дніпрі. 2000. Папір, акварель. 47,6х67,6"
Петров Георгій Петров.,"Поля. 1992. Папір, акварель. 40х60"
Петров Георгій Петров.,"Синій день. 1998. Папір, акварель. 49х61"
Петров Георгій Петров.,"Зелене літо. 1986. Папір, акварель. 39х51"
Петров Георгій Петров.,"Кінотеатр «Ювілейний». 1980. Папір, змішана техніка. 55х44,5"
Петров Георгій Петров.,"Натюрморт із маслоробкою. 1975. Папір, акварель. 63,5х64"
Петров Георгій Петров.,"Весняна пісня. 1974. Папір, акварель. 50х65"
Петров Георгій Петров.,"Зимова річка. 1989. Папір, акварель. 50х75"
Петров Георгій Петров.,"Лист від сина. 1975. Папір, акварель. 52х60"
Петров Георгій Петров.,"Вісті від сина. 1976. Папір, акварель. 46,5х50"
Петров Георгій Петров.,"Рибацькі причали. 1978. Папір, акварель. 51,5х62,5"
Петров Георгій Петров.,"На Дніпрі. 1976. Папір, акварель. 63х45"
Петров Георгій Петров.,"Сільська дівчина 1958. Папір, акварель. 41х58"
Петров Георгій Петров.,"Літо. 1972. Папір, акварель. 46х37,5"
Петров Георгій Петров.,"У Седневі. 1972. Папір, акварель. 47х42"
Петров Георгій Петров.,"Осінь. 1973. Папір, акварель. 54,5х52,5"
Петров Георгій Петров.,"На риболовлі. 1975. Папір, акварель. 53х58,5"
Петров Георгій Петров.,"Гідропарк. Херсон. 1968. Папір, акварель. 39х52,5"
Петров Георгій Петров.,"Похмуро. 1974. Папір, акварель. 35,5х47,5"
Петров Георгій Петров.,"Осінній день. 1980. Папір, акварель. 37,5х50"
Петров Георгій Петров.,"Гриби та горобина. 1980. Папір, акварель. 55,5х59"
Петров Георгій Петров.,"Завод ім. Куйбишева. На стапелях. 1983. Папір, акварель. 45,5х63,5"
Петров Георгій Петров.,"На вулиці дощ. 1964. Папір, акварель. 36х48"
Петров Георгій Петров.,"В порту. 1974. Папір, акварель. 37,5х55,5"
Петров Георгій Петров.,"На стапелях. 1970. Папір, акварель. 43х53,5"
Петров Георгій Петров.,"Місто у снігу. 1992. Папір, акварель. 50х56"
Петров Георгій Петров.,"Причал біля суднозаводу. 1958. Папір, акварель. 40х87,5"
Петров Георгій Петров.,"Натюрморт з глечиком. 1982-1983. Папір, акварель. 64х66,5"
Петров Георгій Петров.,"Дари осіннього ліса. 1980. Папір, акварель. 67,5х57,5"
Петров Георгій Петров.,"Натюрморт з вишнями та яблуками. 1995. Папір, акварель. 51х58,5"
Петров Георгій Петров.,"Окуні. 1985. Папір, акварель. 63х56,5"
Петров Георгій Петров.,"Натюрморт з яблуками. 1972. Папір, акварель. 63х76"
Петров Георгій Петров.,"Хліби. 1995. Папір, акварель. 60х67"
Петров Георгій Петров.,"Натюрморт з ромашками. 1975. Папір, акварель. 63х65,5"
Петров Георгій Петров.,"У майстерні. 1977. Папір, акварель. 75,5х55,5"
Петров Георгій Петров.,"Натюрморт з хлібом. 1974. Папір, акварель. 60х64"
Петров Георгій Петров.,"Маки та горобина. З серії «Дари Херсонщини». 1977. Папір, акварель. 60х70"
Петров Георгій Петров.,"Будівництво моста через Дніпро. Херсон. 1963. Папір, акварель. 60х69,5"
Петров Георгій Петров.,"Херсонський рис. 1983. Папір, акварель. 63х83"
Петров Георгій Петров.,"Осінні каштани. 1978. Папір, акварель. 45,5х63"
Петров Георгій Петров.,"Пам’яті художника Фонвізіна. 1973. Папір, акварель. 63х67"
Петров Георгій Петров.,"Останній промінь. 1978. Папір, акварель. 57х66"
Петров Георгій Петров.,"Натюрморт з салом. 1983. Папір, акварель. 58,7х65,5"
Петров Георгій Петров.,"Пам’яті минулої війни. 1984. Папір, акварель. 74х77,5"
Петров Георгій Петров.,"Весна. 1985. Папір, акварель. 51х60"
Петров Георгій Петров.,"Берези. 1980. Папір, акварель. 53,5х62"
Петров Георгій Петров.,"Вечір. 1987. Папір, акварель. 55,5х73"
Петров Георгій Петров.,"В плавнях. 1982. Папір, акварель. 50х55,5"
Петров Георгій Петров.,"Нова Каховка. 1974. Папір, акварель. 56х64"
Петров Георгій Петров.,"Осінні розписи. 1975. Папір, акварель. 51х63"
Петров Георгій Петров.,"Панкратівський міст. 1960. Папір, акварель. 49,5х61"
Петров Георгій Петров.,"Тирасполь. 1980. Папір, акварель. 56,5х59"
Петров Георгій Петров.,"Плавні. 1983. Папір, акварель. 59,5х74,5"
Петров Георгій Петров.,"Плавні. 1983. Папір, акварель. 59,5х72,5"
Петров Георгій Петров.,"У Седневі 1975. Папір, акварель. 63х74"
Петров Георгій Петров.,"Осінь в Седневі. 1982. Папір, акварель. 58х66"
Петров Георгій Петров.,"Натюрморт. 1979. Папір, акварель. 67х72,5"
Петров Георгій Петров.,"Куточок старого Херсона. 1981. Папір, акварель. 54,5х60,5"
Петров Георгій Петров.,"Катериненський собор. 1987. Папір, акварель. 58,5х70,5"
Петров Георгій Петров.,"Борисоглебський собор. Чернігів. 1979. Папір, акварель. 57х66"
Петров Георгій Петров.,"Жовтень. 1973. Папір, акварель. 60,5х72"
Петров Георгій Петров.,"Слов’янські кургани. 2010-2011. Папір, акварель. 75х63"
Петров Георгій Петров.,"Хліб. 1983. Папір, акварель. 62,5х74"
Петров Георгій Петров.,"Біля дому Остапа Вишні. Етюд. 1981. Папір, акварель. 63х45,5"
Петров Георгій Петров.,"Осінь в Седневі. 1979. Папір, акварель. 63х45,5"
Петров Георгій Петров.,"Сонячний день. 1978. Папір, акварель. 56,5х64,8"
Петров Георгій Петров.,"Над річкою. 1980. Папір, акварель. 56х60"
Петров Георгій Петров.,"Біля Північно-Кримського каналу. 1960-ті рр. Папір, акварель. 63х48,5"
Петров Георгій Петров.,"На річці. Ескіз. Початок 1980-х рр. 1980. Папір, акварель. 72,5х42"
Петров Георгій Петров.,"Цюрупинськ. Розгрузка очерету. 1964. Папір, акварель. 36х43"
Петров Георгій Петров.,"Стара Каховка. Біля дому Фрунзе. 1965. Папір, акварель.51х49,5"
Петров Георгій Петров.,"Зміївка. В кар’єрі. 1955. Папір, акварель. 32,5х42,5"
Петров Георгій Петров.,"На річці. Ескіз. 1980-і рр. 1980. Папір, акварель. 32,5х62"
Петров Георгій Петров.,"На току. 1965. Папір, акварель. 39,5х65"
Петров Георгій Петров.,"Каплиця Катерининського собору. 1968. Папір, акварель. 45х55"
Петров Георгій Петров.,"Драмтеатр. 1966. Папір, акварель. 51х61"
Петров Георгій Петров.,"Місяць. 1972. Папір, акварель. 51х58"
Петров Георгій Петров.,"На Дніпрі. 1985. Папір, акварель. 42х61,5"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 1. Папір, акварель. 49х63"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 2. Папір, акварель. 48х36"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 3. Папір, акварель. 46,3х57,8"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 4. Папір, акварель. 45х64,5"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 5. Папір, акварель. 46х63"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 6. Папір, акварель. 46х55"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 7. Папір, акварель. 45,5х56"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 8. Папір, акварель. 37х72"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 9. Папір, акварель. 46х63"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 10. Папір, акварель. 58х62"
Петров Георгій Петров.,"Із серії «З-д ім. Куйбишева» 11. Папір, акварель. 45х57,5"
Петров Георгій Петров.,"Завод ім. Комінтерну. 1977-1978. Папір, акварель. 52х62"
Петров Георгій Петров.,"Пасинки. 1980. Папір, акварель. 66х56 (у світлі)"
Петров Георгій Петров.,"Сільський побут.1986. Папір, акварель. 68х77"
Петров Георгій Петров.,"Осінній улов. 1984. Папір, акварель. 78,5х74,5"
Петров Георгій Петров.,"Дельфініуми. 1974. Папір, акварель. 75,5х56"
Петров Георгій Петров.,"В очікуванні ремонту. 2000. Папір, акварель. 54,5х64,5"
Петров Георгій Петров.,"Карасі і коропи.1987. Папір, акварель. 70х70"
Петров Георгій Петров.,"Гриби. 1978. Папір, акварель. 74,5х75"
Петров Георгій Петров.,"Волога осінь. 1973. Папір, акварель 44х62 (у світлі)"
Петров Георгій Петров.,"Лугові квіти. 1984. Папір, акварель. 74х66"
Петров Георгій Петров.,"Хвилі попереду. 2009. Папір, акварель. 46,2х35,8"
Петров Георгій Петров.,"Травень у Седневі. 1983. Папір, акварель. 46х56 (у світлі)"
Петров Георгій Петров.,"Незабудки. 1983. Папір, акварель. 57х50 (в світлі)"
Петров Георгій Петров.,"Ранок. 1985. Папір, акварель. 33,5х47 (у світлі)"
Петров Георгій Петров.,"Козацька церква у Седневі. 1980 . Папір, акварель. 63х56"
Петров Георгій Петров.,"Живе срібло. 1980. Папір, акварель. 60х63"
Петров Георгій Петров.,"Чоловічий портрет (начерк). Папір, олівець. 27х19"
Петров Георгій Петров.,"Голови (начерк). Папір, олівець. 27х19"
Петров Георгій Петров.,"Дахи (начерк). Картон, фломастер. 24х18"
Петров Георгій Петров.,"Причал (начерк). Папір, фломастер. 29х20"
Петров Георгій Петров.,"Медсестри (начерк). Картон, кулькова ручка. 32х24"
Петров Георгій Петров.,"Будмайданчик (начерк). Папір, кулькова ручка. 14х20"
Петров Георгій Петров.,"Місто (начерк). Папір, олівець. 30х21"
Петров Георгій Петров.,"Човни (начерк). Папір, олівець. 20х29"
Петров Георгій Петров.,"Колії (начерк). Картон, кулькова ручка. 30х21"
Петров Георгій Петров.,"Риболов (начерк). Картон, кулькова ручка.29х21"
Петров Георгій Петров.,"Ферма (начерк). Двосторонній. Картон, кулькова ручка. 29,5х21"
Петров Георгій Петров.,"Портрети (начерк). Папір, чорнила. 27х19"
Петров Георгій Петров.,"Чоловічі портрети (начерк). Папір, фломастер. 28,5х20"
Петров Георгій Петров.,"Вулицями міста (начерк). Картон, кулькова ручка. 19,5х17"
Петров Георгій Петров.,"Бульвар. Профілі (начерк). Двосторонній. Папір, кулькова ручка. 30х21"
Петров Георгій Петров.,"Чоловік з цигаркою (начерк). Папір, фломастер. 28х20"
Петров Георгій Петров.,"Профіль. Постаті (начерк). Двосторонній. Папір, кулькова ручка. 19х13"
Петров Георгій Петров.,"Постаті (начерк). Папір, фломастер. 28х20"
Петров Георгій Петров.,"Яхт-клуб (начерк). Папір, кулькова ручка. 29х20"
Петров Георгій Петров.,"Собаки (начерк). Двосторонній. Папір, кулькова ручка. 21х28"
Петров Георгій Петров.,"Готель 1-ше Травня (начерк). Картон, кулькова ручка. 29,5х21"
Петров Георгій Петров.,"Пам’ятник морякам Дунайської флотилії (начерк). Папір, кулькова ручка. 29х21"
Петров Георгій Петров.,"Автопортрет (начерк). Папір, олівець. 22х12"
Петров Георгій Петров.,"Набережна (начерк). Папір, кулькова ручка. 29,5х21"
Петров Георгій Петров.,"КАМАЗ (начерк). Папір, фломастер. 13,5х10,5"
Петров Георгій Петров.,"Церква (начерк). Папір, олівець. 18,5х20,5"
Петров Георгій Петров.,"Стовпи електропередач (начерк). Папір, кулькова ручка. 12,5х14,5"
Петров Георгій Петров.,"Лиман (начерк). Папір, олівець. 16,5х13"
Петров Георгій Петров.,"Шість пейзажів (начерк). Папір, олівець. 25,5х17"
Петров Георгій Петров.,"Два пейзажі. Папір, олівець. 25,5х17"
Петров Георгій Петров.,"Чотири пейзажі (начерк). Папір, олівець. 28,5х20"
Петров Георгій Петров.,"Церква (начерк). Папір, олівець. 10,5х14"
Петров Георгій Петров.,"Церква (начерк). Папір, фломастер. 13х18,5"
Петров Георгій Петров.,"Тролейбус та два авто (начерк). Папір, олівець. 40х28,5"
Петров Георгій Петров.,"Село Зарічне на Інгульці. Полотно, акварель. 37,5х70"
Петров Георгій Петров.,"Суботник у гідропарку. 1968. Папір, акварель. 22,2х16,8"
Петров Георгій Петров.,"Пейзаж з козою. 2009. Папір, акварель 15,8х25"
Петров Георгій Петров.,"Пейзаж.. Папір, акварель. 20,5х30"
Петров Георгій Петров.,"Міський пейзаж. 1986. Папір, акварель. 14,7х11,7"
Петров Георгій Петров.,"Ранок. 1979. Папір, акварель. 37х42"
Петров Георгій Петров.,"Натюрморт з самоваром. 2010. Папір, акварель. 37х30"
Петров Георгій Петров.,"Вулиця в Херсоні. 2008. Папір, акварель. 20х27,5"
Петров Георгій Петров.,"Літо на Карантинному острові. 1993. Папір, акварель. 24х31,5"
Петров Георгій Петров.,"Букет. 1981. Папір, акварель. 36х37,5"
Петров Георгій Петров.,"Світлий день у нашому дворі. 2004. Папір, акварель. 30х24"
Петров Георгій Петров.,"Міська алея. 1991. Папір, акварель. 37,5х35,5"
Петров Георгій Петров.,"Сільський будиночок. 1992. Папір, акварель. 36,5х44,7"
Петров Георгій Петров.,"Гідропарк. 2000. Папір, акварель. 38х47,5"
Петров Георгій Петров.,"Натюрморт з рибою. 1970. Папір, акварель. 32,5х45"
Петров Георгій Петров.,"Вечір. 1996. Папір, акварель. 31,5х41"
Петров Георгій Петров.,"Будні села. 2007. Папір, акварель. 18,5х28"
Петров Георгій Петров.,"Вечірні обшири. 1960. Папір, акварель. 16х13,4"
Петров Георгій Петров.,"Хмарно.2007. Папір, акварель. 18х25"
Петров Георгій Петров.,"Незабаром весна. Плавні. 2002. Папір, акварель. 18,5х25"
Петров Георгій Петров.,"Вечір. Село Федорівка. 2007. Папір, акварель. 23х28"
Петров Георгій Петров.,"Кручений панич. 2010. Папір, акварель. 20х26"
Петров Георгій Петров.,"Вишні. 1996 . Папір, акварель. 21х29,5"
Петров Георгій Петров.,"Набережна річкового порту. 2009 . Папір, акварель. 20х28"
Петров Георгій Петров.,"Зимовий двір.1961. Папір, акварель.32х45"
Петров Георгій Петров.,"Міська алея. 1999. Папір, акварель.33,5х38"
Петров Георгій Петров.,"Карасики. 1971. Папір, акварель. 29,5х42,5"
Петров Георгій Петров.,"На заводі «Паллада». 1985. Папір, акварель. 36х48"
Петров Георгій Петров.,"Дніпро біля Херсону. 1971. Папір, акварель. 36х48"
