author,description
Андрєєва Надія Іванівна,"Осінь. Серія «Моя дочка». 1981. Папір, кольорова цинкографія. 62х48"
Андрєєва Надія Іванівна,"З лялькою. Серія «Моя дочка». 1981. Папір, кольорова цинкографія. 62х48"
Андрієнко–Нечитайло Михайло Федорович,"Малюнок. Папір, олівець. 20,5х27"
Андрієнко–Нечитайло Михайло Федорович,"Двобій (начерк до театрального акту). 1924-28. Калька на папері, туш. 14х17,2"
Андрієнко–Нечитайло Михайло Федорович,"Париж. Вид на Сакре-Кер. 1948-52. Папір, олівець. 17,5х22,3 (двохсторонній)"
Андрієнко–Нечитайло Михайло Федорович,"Малюнок. 1953. Папір, олівець. 13,2х20 (двохсторонній)"
Антонов Сергій Георгійов.,"На варті Батьківщини. Папір, кольорова ліногравюра. 58,3х30"
Антощенко-Оленєв Валентин Йосифович,"Один день в старій Хиві. 1965. Папір, ліногравюра. 26х76"
Анцане Банюта Янівна,"Натюрморт зі ступкою. 1975. Папір, кольорова літографія. 50х60"
Апініс Артур Петрович,"У Даугави зимою. 1965. Папір, офорт. 30х40"
Ардімасов Олег Іванович,"Бригада Іванкіна. 1974. Папір, офорт, суха гілка, акватинта. 49х50"
Ардімасов Олег Іванович,"Тягнуть сіті. 1964. Папір, офорт. 76х57,5"
Ардімасов Олег Іванович,"Нанайські жінки. 1964. Папір, офорт. 50х79"
Арлашин Володимир Вас.,"Вихід в космос. Папір, кольорова літографія. 66х42"
Арлашин Володимир Вас.,"На Луні. Папір, кольорова літографія. 66х42"
Арлашин Володимир Вас.,"12 квітня 1961 року. 1979. Папір, кольорова літографія, 66х42"
Арнаутов Віктор Михайлов.,"Портрет громадської діячки. Папір, літографія. 29х24"
Артамонов Олексій Михайл.,"Весняний день. 1971. Папір, акварель. 51,5х71,5"
Артум(с) Ансис Вілісович,"Туга за другом. 1985. Папір, офорт. 10,8х10,4, 22,5х29,6"
Артюшенко Сергій Кирилов.,"Ілюстрація до казки «Мисливець і тигр». 1965. Папір, кольорова ліногравюра. 15х35"
Артюшенко Сергій Кирилович,"Ілюстрація до казки «Мисливець і тигр». 1965. Папір, кольорова ліногравюра. 15х35"
Астахін Василь Йосифов.,"Більшовицька гвинтівка. Папір, офорт. 61,8х65,5"
Атланов Юрій Михайлов.,"Порт Філі. 1975. Папір, кольорова гравюра. 57х80"
Атланов Юрій Михайлов.,"Арматурники. 1975. Папір, кольорова гравюра. 58х77"
Атланов Юрій Михайлов.,"На виставці. З серії «Москва». 1982. Папір, кольорова гравюра на картоні. 55х72"
Атланов Юрій Михайлов.,"Сім’я. З серії «Спогади про Мексику». 1985. Кольорова гравюра на картоні. 56х71,5"
Атланов Юрій Михайлов.,"Пісні Мар’ячис. З серії «Спогади про Мексику». 1985. Кольорова гравюра на картоні. 56х71,5"
Атланов Юрій Михайлов.,"Народне гуляння. З серії «Спогади про Мексику». 1985. Кольорова гравюра на картоні. 56х71,5"
Атланов Юрій Михайлов.,"Пляж в Акапулько. З серії «Спогади про Мексику». 1985. Кольорова гравюра на картоні. 56х71,5"
Афанасьєва М.К.,"Сухий док. З серії «Балтійське море». 1957. Папір, кольоровий офорт. 60,8х54"
Ахунов Масабіх Фатхул.,"Казанський Кремль. 1964. Папір, ліногравюра. 49х76,8"
Ахунов Масабіх Фатхул.,"Старооскольська земля. 1976. Папір, ліногравюра. 68х72,3"
Ахунов Масабіх Фатхул.,"В ливарному цеху. Папір, кольорова гравюра. 66х66"
Ахунов Масабіх Фатхул.,"Смоленський гірничозбагачувальний комбінат (Старооскольська земля). 1976. Папір, ліногравюра. 75х100"
Ашихман Микола Яковлев.,"Левада. 1961. Папір, кольорова літографія. 30х40,5"
Бабаєв Назим Ейбат,"Череда. Папір, ліногравюра. 50х75"
Бабаєв Расим Ганифа,"Фісташкове дерево. Гравюра на картоні. 50,3х61"
Бабак Олександр Мик.,"«Замучен тяжелой неволей». 1970. З серії «Пісні революції та Громадянської війни». Папір, літографія. 81х73"
Бабкова Олександра Андр.,"Київ. Над Дніпром. 1955. Кольорова ліногравюра. 24х35,5"
Бабкова Олександра Андр.,"Київ. Золоті ворота. 1955. Папір, кольорова ліногравюра. 26,5х35,5"
Бабкова Олександра Андр.,"Київ. Над Дніпром. 1955. Папір, кольорова ліногравюра. 24х35,5"
Бабкова Олександра Андр.,"Київо-Печерська Лавра. ХVIII ст. 1972. Папір, кольорова ліногравюра. 26,8х23,8"
Бабкова Олександра Андр.,"Київ. Над Дніпром. 1955. Папір, кольорова ліногравюра. 24х35; 39,4х53,4"
Бабкова Олександра Андр.,"Київ восени. 1960. Папір, кольорова ліногравюра. 27,8х38; 47,7х52"
Бабкова Олександра Андр.,"Київ. Літній вечір. 1960. Папір, кольорова ліногравюра. 30,3х49,6"
Багаутдінов Рафаель Махмут.,"Два віки. 1964. Папір, ліногравюра. 28,5х37,5"
Багаутдінов Рафаель Махмут.,"Байга. З серії «Сабантуй». 1976. Папір, кольорова ліногравюра. 33х38"
